countryname;country;region;superregion
Greece;GRC;EUS;EUR
Grenada;GRD;LAM;LAM
Greenland;GRL;NEU;NEU
Guatemala;GTM;LAM;LAM
French Guiana;GUF;LAM;LAM
Guam;GUM;OAS;OAS
Guyana;GUY;LAM;LAM
Hong Kong;HKG;CHA;CHA
Heard Island and McDonald Islands;HMD;AUS;AUS
Honduras;HND;LAM;LAM
Croatia;HRV;EUC;EUR
Haiti;HTI;LAM;LAM
Hungary;HUN;EUC;EUR
Indonesia;IDN;IDN;OAS
Isle of Man;IMN;EUN;EUR
India;IND;IND;IND
British Indian Ocean Territory;IOT;OAS;OAS
Ireland;IRL;EUN;EUR
Iran, Islamic Republic of;IRN;IRN;MEA
Iraq;IRQ;MEA;MEA
Iceland;ISL;NEU;NEU
Israel;ISR;MEA;MEA
Italy;ITA;ITA;EUR
Jamaica;JAM;LAM;LAM
Jersey;JEY;EUN;EUR
Jordan;JOR;MEA;MEA
Japan;JPN;JPN;JPN
Kazakhstan;KAZ;KAZ;REF
Kenya;KEN;SSA;SSA
Kyrgyzstan;KGZ;REF;REF
Cambodia;KHM;OAS;OAS
Kiribati;KIR;OAS;OAS
Saint Kitts and Nevis;KNA;LAM;LAM
Korea, Republic of;KOR;OAS;OAS
Kuwait;KWT;MEA;MEA
Lao People's Democratic Republic;LAO;OAS;OAS
Lebanon;LBN;MEA;MEA
Liberia;LBR;SSA;SSA
Libya;LBY;MEA;MEA
Saint Lucia;LCA;LAM;LAM
Liechtenstein;LIE;NEU;NEU
Sri Lanka;LKA;OAS;OAS
Lesotho;LSO;SSA;SSA
Lithuania;LTU;EUC;EUR
Luxembourg;LUX;EUW;EUR
Latvia;LVA;EUC;EUR
Macao;MAC;CHA;CHA
Saint Martin (French part);MAF;LAM;LAM
Morocco;MAR;MEA;MEA
Monaco;MCO;NEU;NEU
Moldova, Republic of;MDA;REF;REF
Madagascar;MDG;SSA;SSA
Maldives;MDV;OAS;OAS
Mexico;MEX;MEX;LAM
Marshall Islands;MHL;OAS;OAS
Macedonia, the former Yugoslav Republic of;MKD;NEU;NEU
Mali;MLI;SSA;SSA
Malta;MLT;EUS;EUR
Myanmar;MMR;MMR;OAS
Montenegro;MNE;NEU;NEU
Mongolia;MNG;OAS;OAS
Northern Mariana Islands;MNP;OAS;OAS
Mozambique;MOZ;SSA;SSA
Mauritania;MRT;SSA;SSA
Montserrat;MSR;LAM;LAM
Martinique;MTQ;LAM;LAM
Mauritius;MUS;SSA;SSA
Malawi;MWI;SSA;SSA
Malaysia;MYS;OAS;OAS
Mayotte;MYT;SSA;SSA
Namibia;NAM;SSA;SSA
New Caledonia;NCL;OAS;OAS
Niger;NER;NER;SSA
Norfolk Island;NFK;OAS;OAS
Nigeria;NGA;NGA;SSA
Nicaragua;NIC;LAM;LAM
Niue;NIU;OAS;OAS
Netherlands;NLD;EUW;EUR
Norway;NOR;NEU;NEU
Nepal;NPL;OAS;OAS
Nauru;NRU;OAS;OAS
New Zealand;NZL;AUS;AUS
Oman;OMN;MEA;MEA
Pakistan;PAK;PAK;OAS
Panama;PAN;LAM;LAM
Pitcairn;PCN;OAS;OAS
Peru;PER;LAM;LAM
Philippines;PHL;OAS;OAS
Palau;PLW;OAS;OAS
Papua New Guinea;PNG;OAS;OAS
Poland;POL;POL;EUR
Puerto Rico;PRI;LAM;LAM
Korea, Democratic People's Republic of;PRK;OAS;OAS
Portugal;PRT;EUS;EUR
Paraguay;PRY;LAM;LAM
Palestine, State of;PSE;MEA;MEA
French Polynesia;PYF;OAS;OAS
Qatar;QAT;MEA;MEA
Reunion;REU;SSA;SSA
Romania;ROU;ROU;EUR
Russian Federation;RUS;RUS;REF
Rwanda;RWA;SSA;SSA
Saudi Arabia;SAU;MEA;MEA
Sudan;SDN;SDN;MEA
Senegal;SEN;SSA;SSA
Singapore;SGP;OAS;OAS
South Georgia and the South Sandwich Islands;SGS;LAM;LAM
Saint Helena, Ascension and Tristan da Cunha;SHN;SSA;SSA
Svalbard and Jan Mayen;SJM;NEU;NEU
Solomon Islands;SLB;OAS;OAS
Sierra Leone;SLE;SSA;SSA
El Salvador;SLV;LAM;LAM
San Marino;SMR;NEU;NEU
Somalia;SOM;SSA;SSA
Saint Pierre and Miquelon;SPM;CAN;CAN
Serbia;SRB;NEU;NEU
South Sudan;SSD;SSA;SSA
Sao Tome and Principe;STP;SSA;SSA
Suriname;SUR;LAM;LAM
Slovakia;SVK;EUC;EUR
Slovenia;SVN;EUC;EUR
Sweden;SWE;EUN;EUR
Swaziland;SWZ;SSA;SSA
Sint Maarten (Dutch part);SXM;LAM;LAM
Seychelles;SYC;SSA;SSA
Syrian Arab Republic;SYR;MEA;MEA
Turks and Caicos Islands;TCA;LAM;LAM
Chad;TCD;SSA;SSA
Togo;TGO;SSA;SSA
Thailand;THA;THA;OAS
Tajikistan;TJK;REF;REF
Tokelau;TKL;OAS;OAS
Turkmenistan;TKM;REF;REF
Timor-Leste;TLS;OAS;OAS
Tonga;TON;OAS;OAS
Trinidad and Tobago;TTO;LAM;LAM
Tunisia;TUN;MEA;MEA
Turkey;TUR;TUR;NEU
Tuvalu;TUV;OAS;OAS
Taiwan, Province of China;TWN;CHA;CHA
Tanzania, United Republic of;TZA;SSA;SSA
Uganda;UGA;SSA;SSA
Ukraine;UKR;UKR;REF
United States Minor Outlying Islands;UMI;OAS;OAS
Uruguay;URY;LAM;LAM
United States;USA;USA;USA
Uzbekistan;UZB;REF;REF
Holy See (Vatican City State);VAT;NEU;NEU
Saint Vincent and the Grenadines;VCT;LAM;LAM
Venezuela, Bolivarian Republic of;VEN;LAM;LAM
Virgin Islands, British;VGB;LAM;LAM
Virgin Islands, U.S.;VIR;LAM;LAM
Viet Nam;VNM;OAS;OAS
Vanuatu;VUT;OAS;OAS
Wallis and Futuna;WLF;OAS;OAS
Samoa;WSM;OAS;OAS
Yemen;YEM;MEA;MEA
South Africa;ZAF;ZAF;SSA
Zambia;ZMB;SSA;SSA
Zimbabwe;ZWE;SSA;SSA
