X;CountryCode;RegionCode
Angola;AGO;Africa
French Southern Territories;ATF;Africa
Burundi;BDI;Africa
Benin;BEN;Africa
Burkina Faso;BFA;Africa
Bouvet Island;BVT;Africa
Botswana;BWA;Africa
Central African Republic;CAF;Africa
Cote d Ivoire;CIV;Africa
Cameroon;CMR;Africa
Congo, the Democratic Republic of the;COD;Africa
Congo;COG;Africa
Comoros;COM;Africa
Cape Verde;CPV;Africa
Djibouti;DJI;Africa
Eritrea;ERI;Africa
Western Sahara;ESH;Africa
Ethiopia;ETH;Africa
Gabon;GAB;Africa
Ghana;GHA;Africa
Guinea;GIN;Africa
Gambia;GMB;Africa
Guinea-Bissau;GNB;Africa
Equatorial Guinea;GNQ;Africa
Kenya;KEN;Africa
Liberia;LBR;Africa
Lesotho;LSO;Africa
Madagascar;MDG;Africa
Mali;MLI;Africa
Mozambique;MOZ;Africa
Mauritania;MRT;Africa
Mauritius;MUS;Africa
Malawi;MWI;Africa
Mayotte;MYT;Africa
Namibia;NAM;Africa
Niger;NER;Africa
Nigeria;NGA;Africa
Rwanda;RWA;Africa
Sudan;SDN;Africa
Senegal;SEN;Africa
Saint Helena, Ascension and Tristan da Cunha;SHN;Africa
Sierra Leone;SLE;Africa
Somalia;SOM;Africa
South Sudan;SSD;Africa
Sao Tome and Principe;STP;Africa
Swaziland;SWZ;Africa
Seychelles;SYC;Africa
Chad;TCD;Africa
Togo;TGO;Africa
Tanzania, United Republic of;TZA;Africa
Uganda;UGA;Africa
South Africa;ZAF;Africa
Zambia;ZMB;Africa
Zimbabwe;ZWE;Africa
China;CHN;Eastern_Asia
Hong Kong;HKG;Eastern_Asia
Cambodia;KHM;Eastern_Asia
Lao People's Democratic Republic;LAO;Eastern_Asia
Macao;MAC;Eastern_Asia
Mongolia;MNG;Eastern_Asia
Taiwan, Province of China;TWN;Eastern_Asia
Viet Nam;VNM;Eastern_Asia
Aland Islands;ALA;Europe
Albania;ALB;Europe
Andorra;AND;Europe
Austria;AUT;Europe
Belgium;BEL;Europe
Bulgaria;BGR;Europe
Bosnia and Herzegovina;BIH;Europe
Switzerland;CHE;Europe
Cyprus;CYP;Europe
Czech Republic;CZE;Europe
Germany;DEU;Europe
Denmark;DNK;Europe
Spain;ESP;Europe
Estonia;EST;Europe
Finland;FIN;Europe
France;FRA;Europe
Faroe Islands;FRO;Europe
United Kingdom;GBR;Europe
Guernsey;GGY;Europe
Gibraltar;GIB;Europe
Greece;GRC;Europe
Greenland;GRL;Europe
Croatia;HRV;Europe
Hungary;HUN;Europe
Isle of Man;IMN;Europe
Ireland;IRL;Europe
Iceland;ISL;Europe
Italy;ITA;Europe
Jersey;JEY;Europe
Liechtenstein;LIE;Europe
Lithuania;LTU;Europe
Luxembourg;LUX;Europe
Latvia;LVA;Europe
Monaco;MCO;Europe
Macedonia, the former Yugoslav Republic of;MKD;Europe
